customer_id,recency,frequency,monetary,segment
1,141,2,156000,At Risk
2,13,4,381433,Regular
3,73,5,218654,Regular
4,82,4,269824,Regular
5,6,4,187977,Regular
6,61,3,158540,Regular
7,5,5,236595,VIP
8,160,4,156398,At Risk
9,306,1,67623,At Risk
10,7,4,199686,Regular
11,3,3,239769,Regular
12,53,5,298503,Regular
13,177,6,349861,At Risk
14,141,4,254330,At Risk
15,21,1,44310,Regular
16,3,3,136668,Regular
17,96,3,170917,At Risk
18,246,2,94463,At Risk
19,28,3,264834,Regular
20,88,6,225994,Regular
21,64,6,253476,Regular
22,174,1,27921,At Risk
23,47,5,270454,Regular
24,280,2,130068,At Risk
25,6,5,286952,VIP
26,138,3,230372,At Risk
27,178,1,43444,At Risk
28,95,6,349233,At Risk
29,24,5,381777,VIP
30,24,3,228032,Regular
31,14,2,50677,Regular
32,27,3,120758,Regular
34,131,1,56198,At Risk
35,18,5,169993,VIP
36,56,2,143208,Regular
37,79,2,103048,Regular
38,46,7,248032,Regular
39,75,4,411663,Regular
40,92,4,263660,At Risk
41,29,4,284691,Regular
42,12,2,83089,Regular
43,36,2,131068,Regular
44,11,3,215260,Regular
45,55,5,450290,Regular
46,51,5,300230,Regular
47,209,3,116512,At Risk
48,7,5,260616,VIP
49,133,6,272209,At Risk
50,41,4,128419,Regular
51,6,4,208578,Regular
53,168,1,118324,At Risk
54,1,2,82283,Regular
55,24,1,68956,Regular
56,168,2,71248,At Risk
57,112,2,90954,At Risk
58,44,4,165806,Regular
59,38,6,362882,Regular
60,230,2,130851,At Risk
61,20,6,279958,VIP
62,11,4,246442,Regular
63,55,5,439314,Regular
64,60,2,90954,Regular
65,105,4,221105,At Risk
66,94,4,300523,At Risk
67,329,1,36650,At Risk
68,16,2,45383,Regular
69,119,2,154415,At Risk
70,81,5,200586,Regular
71,24,1,64898,Regular
72,98,4,204697,At Risk
73,10,11,617924,VIP
74,44,7,398405,Regular
75,157,1,99224,At Risk
76,122,2,53170,At Risk
77,54,4,220186,Regular
78,38,3,178195,Regular
79,36,3,263602,Regular
80,152,1,31582,At Risk
81,113,3,258109,At Risk
82,77,6,280291,Regular
83,65,3,271803,Regular
84,10,10,556446,VIP
85,101,2,114852,At Risk
86,171,3,63838,At Risk
87,35,3,194492,Regular
88,87,2,61122,Regular
89,16,4,151503,Regular
90,362,1,53020,At Risk
91,27,4,230197,Regular
92,348,1,87484,At Risk
93,39,8,536164,Regular
94,137,2,176252,At Risk
95,178,3,161752,At Risk
