order_id,order_date,customer_id,city,product_name,category,quantity,unit_price,revenue,payment_method
1,2024-04-12,96,Huye,Optimum Nutrition Creatine,Creatine,2,25775,51550,Bank Transfer
2,2024-12-14,302,Kigali,PreWorkout X,Pre-Workout,3,17206,51618,Card
3,2024-09-27,318,Musanze,Whey Protein,Whey,4,22316,89264,Cash
4,2024-04-16,272,Rwamagana,Energy Extreme,Energy,1,-22984,-22984,Mobile Money
5,2024-03-12,239,Kigali,Optimum Nutrition Creatine,Creatine,4,28155,112620,Cash
6,2024-07-07,359,Rubavu,Energy Extreme,Energy,1,14361,14361,Card
7,2024-01-21,65,Rwamagana,Whey Protein,Whey,4,22676,90704,Cash
8,2024-04-12,3,Kigali,Whey Protein,Whey,2,30144,60288,Cash
9,2024-05-01,376,Rubavu,Optimum Nutrition Creatine,Creatine,1,11165,11165,Bank Transfer
10,2024-08-02,324,Musanze,Energy Extreme,Energy,2,12033,24066,Cash
11,2024-11-26,293,Rubavu,Energy Extreme,Energy,2,24269,48538,Bank Transfer
12,2024-03-28,73,Musanze,Optimum Nutrition Creatine,Creatine,1,34557,34557,Card
13,2024-04-09,377,Rubavu,Vitamins Complex,Vitamins,3,25152,75456,Mobile Money
14,2024-12-25,140,Musanze,Whey Protein,Whey,4,-19155,-76620,Cash
15,2024-05-31,293,Kigali,PreWorkout X,Pre-Workout,3,20233,60699,Mobile Money
16,2024-05-10,380,Huye,Vitamins Complex,Vitamins,1,22260,22260,Bank Transfer
17,2024-05-29,319,Kigali,PreWorkout X,Pre-Workout,2,10806,21612,Card
18,2024-11-04,62,Rubavu,Vitamins Complex,Vitamins,2,18202,36404,Mobile Money
19,2024-09-14,153,Rwamagana,PreWorkout X,Pre-Workout,1,24561,24561,Card
20,2024-12-09,260,Musanze,PreWorkout X,Pre-Workout,3,24899,74697,Bank Transfer
21,2024-10-20,349,Kigali,Whey Protein,Whey,3,34211,102633,Card
22,2024-07-10,373,Musanze,Creatine Monohydrate,Creatine,3,15429,46287,Cash
23,2024-10-03,366,Rubavu,PreWorkout X,Pre-Workout,3,13564,40692,Mobile Money
24,2024-06-09,226,Rwamagana,Creatine Monohydrate,Creatine,2,17274,34548,Card
25,2024-11-09,241,Musanze,Optimum Nutrition Creatine,Creatine,1,28649,28649,Mobile Money
26,2024-01-22,376,Rwamagana,Vitamins Complex,Vitamins,2,32786,65572,Bank Transfer
27,2024-09-09,261,Rubavu,Energy Extreme,Energy,2,25876,51752,Card
28,2024-08-23,215,Musanze,Creatine Monohydrate,Creatine,2,17214,34428,Bank Transfer
29,2024-12-10,99,Rubavu,Vitamins Complex,Vitamins,1,23832,23832,Bank Transfer
30,2024-02-18,241,Musanze,Creatine Monohydrate,Creatine,4,28297,113188,Card
31,2024-02-28,178,Huye,Whey Protein,Whey,1,20106,20106,Cash
32,2024-06-18,216,Kigali,Vitamins Complex,Vitamins,2,33696,67392,Card
33,2024-07-06,269,Rwamagana,Vitamins Complex,Vitamins,3,17906,53718,Card
34,2024-09-27,89,Rubavu,Whey Protein,Whey,4,10892,43568,Cash
35,2024-07-08,398,Kigali,Whey Protein,Whey,1,14675,14675,Bank Transfer
36,2024-06-23,267,Kigali,Vitamins Complex,Vitamins,1,21873,21873,Bank Transfer
37,2024-02-20,323,Huye,Energy Extreme,Energy,1,23239,23239,Mobile Money
38,2024-12-29,226,Rwamagana,Whey Protein,Whey,3,27602,82806,Mobile Money
39,2024-02-24,40,Kigali,Optimum Nutrition Creatine,Creatine,4,23774,95096,Card
40,2024-08-31,226,Rubavu,Vitamins Complex,Vitamins,1,27338,27338,Mobile Money
41,2024-11-15,38,Kigali,Whey Protein,Whey,4,17291,69164,Mobile Money
42,2024-05-10,389,Musanze,Energy Extreme,Energy,4,31754,127016,Bank Transfer
43,2024-11-02,37,Rubavu,Vitamins Complex,Vitamins,0,23913,0,Card
44,2024-05-14,284,Musanze,Energy Extreme,Energy,4,19903,79612,Card
